up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
228852065,街头寻梦,1,2442775,227687,57678,351339,2442775.0,0.0932,0
534952028,RobLandesMusic,1,2441971,193751,4477,220801,2441971.0,0.0793,0
3461562192890614,小陈总啊,1,2441602,216951,63896,303602,2441602.0,0.0889,0
374630005,血盟超可动人型,1,2438160,160009,42858,337869,2438160.0,0.0656,0
131378392,二十要吃奶希,1,2436983,214847,61993,310077,2436983.0,0.0882,0
559923182,猫咪公寓2,1,2434453,102771,17487,143737,2434453.0,0.0422,0
45196910,粮粮不会凉,1,2429972,225163,44928,372840,2429972.0,0.0927,0
1098789877,走廊电影小组,1,2429536,169765,67214,321404,2429536.0,0.0699,0
518112933,异兽之子_木木,1,2425374,318281,53702,436883,2425374.0,0.1312,0
66606350,buckit_陈楒潼,1,2422821,161863,73074,317627,2422821.0,0.0668,0
298559024,孙名川-川子唢呐,1,2420979,449455,49162,573798,2420979.0,0.1857,0
230576499,D蚱蜢,1,2417221,180746,11452,229904,2417221.0,0.0748,0
378885845,不正经老丝,1,2417173,185837,74261,318988,2417173.0,0.0769,0
172836666,超级无敌蘑菇羊,1,2416900,170926,41775,267912,2416900.0,0.0707,0
408650439,Renderbus瑞云渲染,1,2410738,147723,49122,374853,2410738.0,0.0613,0
554405841,野餐slu2pcekry,1,2410022,475905,39233,641748,2410022.0,0.1975,1
1751656513,陈添ChenTIAN,1,2406022,264657,13849,328947,2406022.0,0.11,0
1310638997,德森大师兄-阿杰,1,2402002,127430,3781,143611,2402002.0,0.0531,0
644726499,越小尤,1,2400857,162290,73002,278050,2400857.0,0.0676,0
9028353,三角洲行动攻略官,1,2399971,159033,130588,401419,2399971.0,0.0663,1
1565044,司空子衡,1,2399616,234145,161449,516876,2399616.0,0.0976,0
41430184,我不是大米饭啊,1,2399613,165243,128017,390323,2399613.0,0.0689,0
318476247,一个大岳儿,1,2398352,170566,3770,191310,2398352.0,0.0711,0
595379331,B站七万星星,1,2397985,270910,149176,575617,2397985.0,0.113,1
168301180,后顾顾顾顾顾,1,2397652,292338,22876,402135,2397652.0,0.1219,0
403097853,GNwork团队,1,2396146,264877,212950,584551,2396146.0,0.1105,0
3629946,红色社畜,1,2392516,205687,5226,251594,2392516.0,0.086,0
61214660,木姬空语,1,2390128,266044,140855,486283,2390128.0,0.1113,1
98711018,U_shoko_U,1,2388619,503815,177037,882896,2388619.0,0.2109,1
3546901947353448,难评H2S,1,2387670,114924,118547,292885,2387670.0,0.0481,0
696339789,KangSeung-rok,1,2387646,55024,30718,150955,2387646.0,0.023,0
268079565,绿毛大菠萝,1,2384099,2592,1068,9129,2384099.0,0.0011,0
535601805,Mr丶Ass,1,2383044,169154,39141,277809,2383044.0,0.071,0
50247468,神经刀游戏工作室,1,2381438,145233,68450,269831,2381438.0,0.061,0
